date,igpm_acc
2004-10-27,42.64920694
2004-10-28,42.66771647
2004-10-29,42.6862284
2004-11-01,42.72507555
2004-11-03,42.76393329
2004-11-04,42.8028016
2004-11-05,42.84168049
2004-11-08,42.88056997
2004-11-09,42.91947003
2004-11-10,42.95838069
2004-11-11,42.99730194
2004-11-12,43.03623378
2004-11-16,43.07517623
2004-11-17,43.11412928
2004-11-18,43.15309293
2004-11-19,43.19206719
2004-11-22,43.23105206
2004-11-23,43.27004755
2004-11-24,43.30905365
2004-11-25,43.34807038
2004-11-26,43.38709772
2004-11-29,43.42613569
2004-11-30,43.46518429
2004-12-01,43.50044641
2004-12-02,43.53571719
2004-12-03,43.57099665
2004-12-06,43.60628477
2004-12-07,43.64158157
2004-12-08,43.67688705
2004-12-09,43.7122012
2004-12-10,43.74752403
2004-12-13,43.78285555
2004-12-14,43.81819574
2004-12-15,43.85354463
2004-12-16,43.8889022
2004-12-17,43.92426846
2004-12-20,43.95964342
2004-12-21,43.99502707
2004-12-22,44.03041942
2004-12-23,44.06582046
2004-12-27,44.10123021
2004-12-28,44.13664866
2004-12-29,44.17207582
2004-12-30,44.20751168
2005-01-03,44.22622341
2005-01-04,44.24493757
2005-01-05,44.26365415
2005-01-06,44.28237317
2005-01-07,44.30109461
2005-01-10,44.31981848
2005-01-11,44.33854478
2005-01-12,44.35727351
2005-01-13,44.37600467
2005-01-14,44.39473826
2005-01-17,44.41347429
2005-01-18,44.43221274
2005-01-19,44.45095362
2005-01-20,44.46969694
2005-01-21,44.48844269
2005-01-24,44.50719087
2005-01-26,44.52594148
2005-01-27,44.54469453
2005-01-28,44.56345001
2005-01-31,44.58220792
2005-02-01,44.59664522
2005-02-02,44.61108396
2005-02-03,44.62552414
2005-02-04,44.63996576
2005-02-09,44.65440883
2005-02-10,44.66885334
2005-02-11,44.68329929
2005-02-14,44.69774668
2005-02-15,44.71219551
2005-02-16,44.72664579
2005-02-17,44.74109751
2005-02-18,44.75555067
2005-02-21,44.77000528
2005-02-22,44.78446133
2005-02-23,44.79891882
2005-02-24,44.81337776
2005-02-25,44.82783814
2005-02-28,44.84229997
2005-03-01,44.88317095
2005-03-02,44.92405347
